filename,invoice_number,date,hours,unit_price,total_amount,terms,sales_rep,company_name,detailed_work
Invoice-NES01-5448.pdf,NES01-5448,2023-02-20,5,50.0,1562.5,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5449.pdf,NES01-5449,2023-03-27,21,49.0,2646.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5450(1).pdf,NES01-5450,2023-04-12,10,31.5,1435.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5450.pdf,NES01-5450,2023-04-12,10,31.5,1435.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5451.pdf,NES01-5451,2023-04-17,0,49.0,3150.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5452.pdf,NES01-5452,2023-04-28,9,49.0,7434.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5453.pdf,NES01-5453,,16,49.0,2772.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5454.pdf,NES01-5454,,0,49.0,3276.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5455.pdf,NES01-5455,,0,49.0,4788.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5456.pdf,NES01-5456,,74,49.0,9324.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5457.pdf,NES01-5457,,54,49.0,8694.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5458.pdf,NES01-5458,,0,49.0,2726.5,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5459.pdf,NES01-5459,,0,49.0,3906.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5460.pdf,NES01-5460,,28,49.0,4412.0,D,"Ship Via

Terms

Date Due",W3Evolutions LLC,False
Invoice-NES01-5461.pdf,NES01-5461,,14,31.5,9191.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5462.pdf,NES01-5462,,23,49.0,3276.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5463.pdf,NES01-5463,,59,49.0,10332.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5464.pdf,NES01-5464,,68,49.0,9072.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5465.pdf,NES01-5465,,21,49.0,2898.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5466.pdf,NES01-5466,,127,49.0,16002.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5467.pdf,NES01-5467,,48,49.0,6048.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5468.pdf,NES01-5468,,27,49.0,3402.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5469.pdf,NES01-5469,,47,49.0,5922.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5470.pdf,NES01-5470,,92,49.0,11592.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5471.pdf,NES01-5471,,35,49.0,4410.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5472.pdf,NES01-5472,,51,49.0,6426.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5473.pdf,NES01-5473,,39,49.0,4914.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5474.pdf,NES01-5474,2023-12-11,54,49.0,6804.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5475.pdf,NES01-5475,2023-12-26,167,49.0,21042.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5476.pdf,NES01-5476,2024-01-12,137,49.0,17262.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5477.pdf,NES01-5477,2024-01-28,72,49.0,9072.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5478.pdf,NES01-5478,2024-02-02,80,49.0,10080.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5479.pdf,NES01-5479,2024-02-07,70,49.0,8820.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,False
Invoice-NES01-5480.pdf,NES01-5480,2024-02-15,93,49.0,11718.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5481.pdf,NES01-5481,2024-02-22,79,49.0,9954.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5482.pdf,NES01-5482,2024-02-29,64,49.0,8064.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5483.pdf,NES01-5483,2024-03-11,40,49.0,5040.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5484.pdf,NES01-5484,2024-03-15,68,49.0,8568.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5485.pdf,NES01-5485,2024-03-22,64,49.0,8064.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5486.pdf,NES01-5486,2024-04-01,42,49.0,5292.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5487.pdf,NES01-5487,2024-04-07,37,49.0,4662.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5488.pdf,NES01-5488,2024-04-15,38,49.0,4788.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5489.pdf,NES01-5489,2024-04-22,69,49.0,8694.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5490.pdf,NES01-5490,2024-04-30,96,49.0,12096.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5491.pdf,NES01-5491,2024-05-07,90,49.0,11340.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5492.pdf,NES01-5492,2024-05-14,93,49.0,11718.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5493.pdf,NES01-5493,2024-05-21,52,49.0,6552.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5494.pdf,NES01-5494,2024-05-29,71,49.0,8946.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5495.pdf,NES01-5495,2024-06-04,82,49.0,10332.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5496.pdf,NES01-5496,2024-06-11,56,49.0,7056.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5497.pdf,NES01-5497,2024-06-19,71,49.0,8946.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5498.pdf,NES01-5498,2024-07-02,83,49.0,10458.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5499.pdf,NES01-5499,2024-07-10,58,49.0,7308.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5500.pdf,NES01-5500,2024-07-25,122,49.0,15372.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5501.pdf,NES01-5501,2024-07-31,78,49.0,9828.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5502.pdf,NES01-5502,2024-08-08,95,49.0,11970.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5503.pdf,NES01-5503,2024-08-19,151,49.0,19026.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5504.pdf,NES01-5504,2024-08-27,105,49.0,13230.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5505.pdf,NES01-5505,2024-09-08,118,49.0,14868.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5506.pdf,NES01-5506,2024-09-16,86,49.0,10836.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5507.pdf,NES01-5507,2024-09-23,78,49.0,9828.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5508.pdf,NES01-5508,2024-10-02,81,49.0,10206.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5509.pdf,NES01-5509,2024-10-09,26,49.0,3276.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5510.pdf,NES01-5510,2024-10-15,53,49.0,6678.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5511.pdf,NES01-5511,2024-10-22,54,49.0,6804.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5512.pdf,NES01-5512,2024-10-29,64,49.0,8064.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
Invoice-NES01-5513.pdf,NES01-5513,2024-11-07,109,49.0,13734.0,D,"Ship Via

Terms

Date Due",W3Evolutions Systems LLC,True
